clustered_id,clustered
39ccb32d95edfdbcd882f2b01809724ec640ea16,food
be1c86a244e29b7947b41e66d7ade937dbee5239,whole foods
1735c798515e4c0acb031ee356805a082afc0aa3,baby food supplier
73756694d8f3b1bf5376f9d6d477d6eb4612f1ef,baby foods
55a57274a665ec379a0abf191fb0d2e947e9d982,precooked baby food
b7a38d4fa268d89344150ccf45740f7c6c4c56dc,supplier of foods
b36111bc7a5c17897b1df9a8e9ba579f23066963,derivatives for the textile industry
daae159d24691a46e2b708f60e43675067befc37,rollers for the textile industry
ac0268aff8d079f9bf9b20a1c974d9669c675bc7,soaps for the textile industry
e8d5db85cd94c1224b3c53098868d266f9d3e559,spools for the textile industry
91e11be5225dbbecc230be61f8ac705a5336463f,textile industry
695906d59bf66621821eb3734af157ae611f469b,waxes for the textile industry
f62e430a56b087decf8105f99bcef8ca3aeb8aad,electricity production
7980d15c0d9616e7613381a493e372bc40871342,electricity production consultants
5d160662c36fe13d77c1ddc52cc6bafb02fdb69f,static electricity
587499632ae89e949691a4603be07175fd4d83b8,static electricity precipitators
a8074d2ef921d0fecf21004bea53c77f2254477c,combined electricity generator
816ff4294a6c99ff7bdfaecf8f407b89fd6f8c83,electricity generator rental
87bf40ba8c93a6ef5fb781f7385ac9e556dd12f9,electricity generators
7817c52b25607be67ce93c0e5e7081fb6a2346f2,machine
1bfe34051b2dcda2cca92fd6721453890f518f61,used machines
913dcad774e7c22e3a6f0d96cd60af0e8ac21499,ffs machine manufacturer
3356ee73ebdabeaa6752071fb5c2b0c0ec225aec,machine knives
fd817e2236753fde6acb9f6f9945ef4f0f6a25a7,machine knives manufacturer
3292a285e75531b76155d356656d33b778056611,machine manufacturer
5861196ed4e7f060a2aaf0eb4522c6a4113a0a4c,manufacturer of screening machines
8cd6440d5c3bca80b0041ceb73aa154a8049a034,purchase screening machine
7b1b9eae2ed21a242f0ffb7cb5810ed006c67dcd,vibrating screening machines
9438a378e8f009dc62bc6184f49161c9c32137ce,pharmaceutical products for veterinary use
5e2d5f1a0433a72fa2ba052ed5961357c457de31,veterinary product
540197744c46c9691c7fc2ef1868bb181ff7b87b,fuel injection
b6327d51ab932db69d0312583e01fd7ec8bebe16,fuel injection engines
784d0c594f1456ae92c642ce737ce245756e580b,fuel injection nozzles
55895624237b2e236913cebf29e6c75759c1224b,fuel systems
b246ab02f020da03bd8ae0db432ba37087387b35,fuel-injection systems
