products_id,products_and_services,clustered_id
9bdb09634dd82d1b23845730fd2973105a73ba3e,"building materials, manufacture - machinery and equipment",9b2ad52f4103d54871feee9bf692ae6493f1d6d3
7a4109b2fa9c057d0336bd44905b07e5edabc5d6,construction machinery,7a4109b2fa9c057d0336bd44905b07e5edabc5d6
d3ec90d2ac1d81e1fa5cd4567be82aa16c818752,construction site installations and equipment,c9d4f5ebc151dc05341cbfc00e6a989315f874f9
3d9f448965b55e5d68cabe4429ae1100b6d41383,forming - steels and metals,83ac89f1d6b734b698dfc40825ab7d05cf7462aa
f33944fb6d924532e8f980c0a14d4aafb549799b,stud farms,f33944fb6d924532e8f980c0a14d4aafb549799b
7d453e0ebc03bbd320630ff8ff64c171d03a4eee,steel & metals,4963bb059132fa0c8cce273c8722240ad961b535
eaad2e46eac1606d963d0b8a93e16af884f931f2,dietary and organic foods,ea211507b860b477003e38978e434cfbd7a7437e
65876242de3c23a49c140996ea68d927d82498b5,"chemistry, inorganic - raw materials and derivatives",4c883ed9a81f54c04cb0f02deb86bbac5e07b0ac
17a7eeb5bce7a233f7cd1065e07e52cf9f1dc4cb,"chemistry, organic - raw materials and derivatives",ff68a5f9b1ea71e2fc9bdbab80fedfc5df5e1d43
847089770baaf9de39d6c2153e177b0854b7c956,perfume and beauty products,71ea58aa789b63d377fa73c441348da5840bd0dc
012e7138419213d6dc8df7c43b0fd5c82c5fe91c,pharmaceuticals - basic and auxiliary products,8afbd6eedab51f5d0ac7b3608c09be2bfcbc450a
644155a56c716b1edc03924df00312e8144b632b,road transport,644155a56c716b1edc03924df00312e8144b632b
b5457b2d36c895b8332123ad059bffa35ea9e56b,logistics services,e4f9683f4814454acd7062717a0f2cd3dac0fa95
3505549d57ac3e21bff691c69278632f84116fbf,gas and oil - exploitation,a5f58c39cc52df3f76d2d4961ce655166c21ca24
71ca4405c02c7b78dd17895dd6357bcdbd4a2dfa,water - production and distribution,6d5a45920a15adea049c8f22d569ff209625a43b
8db880e9092b15e06b801998e7ca313ca291d864,industrial building construction,8db880e9092b15e06b801998e7ca313ca291d864
b5432a14e48d7806056da86302b2467bb9a303ef,transportation of goods by road - international,b5432a14e48d7806056da86302b2467bb9a303ef
e505573fa31884c872b30badb1ce2287fec81b2c,express freight service,e505573fa31884c872b30badb1ce2287fec81b2c
11d1a776885862651baa6ed675c2989344efafd3,equipped offices and industrial premises - services,90355ca1f540cde1ec60e0a7125e2adc6250bedd
5061ef7916f8effbe3deccf6cb76d5e1cac50779,office equipment - rental,5061ef7916f8effbe3deccf6cb76d5e1cac50779
582b1d0eb78b7b6d8d316af55ec8e911a614eef4,"foundries, aluminium",764a630dd9fde6a9c7cba0d717d9f757ebee9df2
8f6bd701ce5eed0b9457672e1575a9f28e49b546,"composition, photocomposition and photoengraving",b249e5542b8bce1fd04cf35c8a55c3149ad10350
2cd070a4fc87c09ef79b3e49b4d9a67885b59aba,printing,6d0d5876e6710ebb4f309b5af01090cb97381d06
967eb416a75debbdbcc9caba7f2d5ce6ccfde724,silk-screen printing,967eb416a75debbdbcc9caba7f2d5ce6ccfde724
759fb1073c271c3f92fdfccd481c97a20f7dfd30,reprographics,759fb1073c271c3f92fdfccd481c97a20f7dfd30
fc0ce6662758e8e6e516b7cd395a83378dbaae2c,cocoa and chocolate,891c5feef171da85aadd3fdb8130ba509b03f5ea
4e9338c999c7ea14ab9cb9e0d0212c76169f24bb,plain chocolate,4e9338c999c7ea14ab9cb9e0d0212c76169f24bb
ff65ea9f38c8b24d006b2c87797fe0bf5b3427c8,bending - steels and metals,633473147e11eebd08e79bad36ca645ed53b123e
f398d80cd9945c8137f3a75e947277fced951c40,non-alcoholic drinks,f398d80cd9945c8137f3a75e947277fced951c40
c8b7587eeca90f238d9e12a7a8d2b284ee4ec901,steels and metals - welding and brazing,ab0c3e634e59a9edb9a847187a49753b80ebf07b
15ea1aa6b5579a4524c4e1b6fc255993ba43336c,welding work - steels and metal,21e4006d4ebaddc61e70dc1108bd4a82bfdb4cd1
bd43b15e4d244625ec2dc63cd803f1e68520c1fb,"metal construction, lightweight",bd43b15e4d244625ec2dc63cd803f1e68520c1fb
b7cba9eb83f387251b4848fad8134721c0527274,boilerwork,b7cba9eb83f387251b4848fad8134721c0527274
