products_id,products_and_services
da66742af8b51b96e1c763897cb40cfbbd2e11ce,nuts and bolts
07a2ee92f015a2bcfcd5c4174b128f7dc4f09877,"plumbing, domestic"
d11492a3cdf6d0dfd94e112602a6a20cb4499167,sheet metals - stamping
20c292ede6839919b69e528b47267e88ec2f6e9a,semi-finished plastic products
2c523d09b4fd919e05647db183f9aea34bbd57d3,automatic punch cutters
2c7b7baa93ade176061a09d89d507ea4591f1c79,polypropylene sheets
3d2be08c3e3de793b678cf12883b971fe8d4d90f,moulded rubber products
dbbff28a2eab5d850ec1b6396a10f5f95e23d816,transport - cars and caravans
515cfc30f1f01b91ede989cf4c495fee3eeb62ae,"breakdown and towing, heavy-goods vehicles"
c3d30907051fbaa52276c5d87b00b6fa9d28844c,car transporters
77aa5d9d2e0b48af8a7d324117447c0fa96a364e,industrial tractors for towing
ee84fe4d3ebc2b2ab3f434979e0caad058be358f,"packing and packaging materials, metal"
a5c6cf7daef62d80694a76f9ca36e15b27924453,"road, beach and ski-slope maintenance - machinery and equipment"
8bf7606661d9c234dc6de3c014912ae1e4470496,springs
6f694ec860323f75068486ee1e4617c756a0f204,spiral springs
a2a5f5ce71d427a761fd08af1670766bbff9c1e8,leaf springs
740693ea0ecbc2a5c21c212479d7649018fccab9,stationery - plastic products
4a33c39ba728744034244273d301bb29980a64af,"energy sources, alternative - equipment and systems"
2594a1bc3a7a4ef9808adf7447292d554fdadc72,solar energy - installations
051842193229a2c869870aa59e84cf9892e508e4,biscuits
0ffa8a14ad937033dba28787573a99682971de1d,office supplies
642b5cd982d48582ca759a01b28bd2ade45c3b8a,containers
090199e4756cf1c8d740a1f0871acbd085f3b230,cereals and grains
ea03f462b6d608b9e5fd25477ea27e19734bd146,energy - renewable
087dd08b346443b725f571b4e965056dd55649f7,heat treatment of steels and metals
e6ed318626cd4631bbc1449187dc954ce9b324c8,marking and labelling machinery
c31a2c731dba4f321b8d4307590e01814192d190,printing and setting - machinery and equipment
121d0c35fc36b7e300f8c971d4de84eacf6e116f,binding - machinery and equipment
f053b8b6867d63b294d649595d714aa755500d93,fruit
8e0d9a8382dc02953f56213069944c3d37bbb9f9,wines
600982cf9c0c41e12df616d2a9a72d675345ced7,beer
68b5cd80af37e4758bedcbe78c2704f1ce196ce5,turning - steels and metals
9b116f697dc4fedbd360cd5dd96ab1f76aeaaf78,fabrics
bf94bd6d3d8c1d509bd32ec113e5740e914906a1,paints and varnishes
fa978182638c33bde521f0a88c204c17bf488935,repair shops - vehicles
351420250cdac59fff1ee1d5db52742766e55a8a,water distribution
fc57718e6f795d8efb97d70fd0d0b277a2b3a154,glass bottles
11cccefa6db2e35c9b86a1f203e0eefad535cda0,water cooler fountains for institutions
75fee5c45d0db66f3cb902d0ee25025cf169de0a,plastic bottles
8e2b051a989e5509b3ee0dcefaf9e03176d241bf,coil springs
c5a39035be8bc0bf6c91080fcb16855d0ff0faab,machine tools - metal shaping
01d8a7ae4af30c9a3bf44d2c90b8bafdb6b9f63a,"coatings, plastic"
c34c12cbccac0fd0e9b30bc5f4e934be8a069b72,plastic floor coverings
51e4841a9d729970415c0935dcacfe1b5cd5b188,pigs
8a96bec838c62b2fcc32ab96ec79819dc8eae0ba,"meats, frozen and deep-frozen"
052e2c4eed94fc2c8b98284f157101cdc7c4541c,scaffolding and ladders
2b971d965a1a6b9278aec18bc2519850ad3a2ec4,"frameworks, lightweight - metal"
