,products_and_services,products_id,language (ISO-code),typo_corrected
94,edge beads,e379c57b-e591-469d-8b6d-65bf5daa87f2,da,edge beads
95,aluminium sheet bending,5ecbaff6-065d-4add-91e8-b0f4a81f2bd6,id,aluminium sheet bending
96,metal spinning,9ecb8f64-ef17-4290-8fa5-4bb5c49af3f6,no,metal spinning
97,stuccoes for metal,5eaaab2f-3b7f-4623-95bf-47762ad030a6,ca,stuccoes for metal
98,solder,1ae0264a-b7f7-441b-8532-b19f399caa9a,da,solder
99,aerating,f22e1e8c-ffac-434e-b3bd-c43c811c4cd6,id,aerating
100,engine fitting,1fe2ed56-b0ca-4310-83ef-cd8e71593b3e,no,engine fitting
101,eu tender opportunities,68f449ea-834f-44a1-ac76-090ce3913999,fr,eu tender opportunities
102,riding arena installation,a1876869-0c92-4de8-8acb-289fe2332e64,sv,riding arena installation
103,permanent magnets,c33f4a5b-a326-41ab-88bb-cea26bef5a9d,no,permanent magnets
104,co2 laser machines,a75542c9-ccea-4384-861f-df7d9a555c4a,es,co2 laser machines
105,laser engraving on fabrics,a7a0d38b-120c-4cee-b159-45dad7f65be1,no,laser engraving on fabrics
106,laser engraving for wood,e68038df-64e9-41f0-9997-85ff3e871fbc,no,laser engraving for wood
107,aluminium scrap trading,18e7b642-acbe-4d2b-972f-d42b9642b731,ro,aluminium scrap trading
108,rfid,d053fa99-ad22-40f9-b4db-b883ab19ed82,cy,rfid
109,rfid reader,8c0fdaba-21b3-42b6-972f-ed039b57fe4a,cy,rfid reader
110,rfid tags,da8cb8e9-6a09-4f8d-aed9-f28c5bdaa04d,sv,rfid tags
111,textile dyes,7863c2aa-e364-4e81-8dfc-429ad8e5db98,fr,textile dyes
112,functional dyes,9dda0e2f-4ec6-4810-bb73-0b477b258ecb,es,functional dyes
113,dyes for metal,318d5df7-6941-4f75-b4b7-9fcf627d4a1d,da,dyes for metal
114,structural steels,3c27cbb8-e423-46af-ae37-af8ad93022b8,ro,structural steels
115,baskets for urban decoration,b4728671-a8f2-4d31-88d6-1a024fb09b70,da,baskets for urban decoration
116,aluminium netting,e9663924-dd84-4cdd-9a27-034914266421,fi,aluminium netting
117,metal coining,fa6a3ede-1c98-4c7e-b9aa-46c118a23b4f,it,metal coining
118,fire-resistant mobile partitions,0165b38d-741a-4e0f-b7b9-7aadf05077e4,fr,fire-resistant mobile partitions
119,metal gates,67e710f3-65e2-4e54-9e6e-b14d6b5ff7ae,id,metal gates
120,floor waxes,ee39b90b-2172-4887-8065-1caf30e47b45,so,floor waxes
121,lithium metal,a475ee3f-deeb-4701-a830-9b18d2b6fb70,sq,lithium metal
122,"chains, custom-made",d52a0c23-65ba-45e6-b23e-e2535eb52792,pt,"chains, custom-made"
123,pipes for gas pipelines,dcc666cb-29b2-4df5-8431-6e96588461d7,ca,pipes for gas pipelines
124,outdoor grill,956e74f9-290e-4ec0-91ee-8f7871aee72f,nl,outdoor grill
125,linear guide supplier,75b56b07-fb95-45df-8f70-39599448fb4d,fr,linear guide supplier
126,linear slide,75d4756c-d81a-41ea-b570-d03451ebf63b,et,linear slide
127,needle bearings,5edfab47-e409-463c-af22-c2471cb02bfa,af,needle bearings
128,dry food dispensers,11878723-f868-4334-b917-964cbb8c188d,af,dry food dispensers
129,liquid food dispensers,1abac888-2834-4d0d-9c2c-f348077f78e8,fr,liquid food dispensers
130,bulk food dispensers,dee3684a-3c3e-4f4d-a170-a353bd562fdb,af,bulk food dispensers
131,"bulk bins, gravity bins",a26f0c9f-75e6-4fae-9628-e70969ea00b4,tr,"bulk bins, gravity bins"
132,petfood dispensers,6ee5dfda-f37f-4694-abe7-b003ad6496db,af,petfood dispensers
